,name,latitude,longitude,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
26,"1411/160 VICTORIA STREET, CARLTON SOUTH",-37.8097543208791,144.994086591523,Abbotsford Primary School,0.4247,North Richmond Railway Station (Richmond),0.157,-37.80898,144.99881,Abbotsford Primary School,19977,-37.8104,144.9925,North Richmond Railway Station (Richmond),,,,
27,"2915/570 LYGON STREET, CARLTON SOUTH",-37.79312001,144.969001,Carlton Primary School,0.3034,Melbourne Central Railway Station (Melbourne City),1.9459,-37.7956,144.97045,Carlton Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
28,"3405/488 SWANSTON STREET, CARLTON SOUTH",-37.80558001,144.96354001,Carlton Gardens Primary School,0.6557,Melbourne Central Railway Station (Melbourne City),0.4866,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
29,"UNIT 12/109 LYGON STREET, CARLTON SOUTH",-37.8045102,144.9660078,Carlton Gardens Primary School,0.4119,Melbourne Central Railway Station (Melbourne City),0.6693,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
30,"1403/518 SWANSTON STREET, CARLTON SOUTH",-37.8050207,144.9632603,Carlton Gardens Primary School,0.6416,Melbourne Central Railway Station (Melbourne City),0.5447,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
31,"51 RATHDOWNE STREET, CARLTON SOUTH",-37.805838,144.968917,Carlton Gardens Primary School,0.4237,Parliament Railway Station (Melbourne City),0.6813,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
32,"6012/570 LYGON STREET, CARLTON SOUTH",-37.793363,144.96946,Carlton Primary School,0.2632,Melbourne Central Railway Station (Melbourne City),1.9324,-37.7956,144.97045,Carlton Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
33,"307/604 SWANSTON STREET, CARLTON SOUTH",-37.80153,144.964037,Carlton Gardens Primary School,0.4854,Melbourne Central Railway Station (Melbourne City),0.9376,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
34,"513/1 BOUVERIE STREET, CARLTON SOUTH",-37.806097,144.96122,River Nile School,0.5491,Melbourne Central Railway Station (Melbourne City),0.4393,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
35,"98 DRUMMOND STREET, CARLTON SOUTH",-37.8044685,144.9678276,Carlton Gardens Primary School,0.3066,Melbourne Central Railway Station (Melbourne City),0.7585,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
36,"806/1 BOUVERIE STREET, CARLTON SOUTH",-37.806097,144.96122,River Nile School,0.5491,Melbourne Central Railway Station (Melbourne City),0.4393,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
37,"96 KAY STREET, CARLTON SOUTH",-37.794848,144.971853,Carlton Primary School,0.1491,Parliament Railway Station (Melbourne City),1.8062,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
38,"96 KAY ST, CARLTON SOUTH",-37.794848,144.971853,Carlton Primary School,0.1491,Parliament Railway Station (Melbourne City),1.8062,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
39,"32/16-18 BARKLY PLACE, CARLTON SOUTH",-37.803205,144.961444,St Joseph's Flexible Learning Centre Melbourne,0.5771,Melbourne Central Railway Station (Melbourne City),0.75,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
40,"26-34 LITTLE CARDIGAN STREET, CARLTON SOUTH",-37.804078,144.965461,Carlton Gardens Primary School,0.4217,Melbourne Central Railway Station (Melbourne City),0.6936,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
41,"127/1 QUEENSBERRY STREET, CARLTON SOUTH",-37.805413,144.968872,Carlton Gardens Primary School,0.3775,Parliament Railway Station (Melbourne City),0.7241,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
42,"724 DRUMMOND STREET, CARLTON SOUTH",-37.792422,144.969882,Carlton North Primary School,0.3158,Parliament Railway Station (Melbourne City),1.9875,-37.79106,144.97303,Carlton North Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
43,"7 PITT STREET, CARLTON SOUTH",-37.7958692,144.9728557,Carlton Primary School,0.214,Parliament Railway Station (Melbourne City),1.6905,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
44,"115 STATION STREET, CARLTON SOUTH",-37.794544,144.974191,Carlton Primary School,0.3497,Parliament Railway Station (Melbourne City),1.8411,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
45,"CARLTON, CARLTON SOUTH",-37.801007,144.97233,Carlton Gardens Primary School,0.274,Parliament Railway Station (Melbourne City),1.1214,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
46,"2/280 CARDIGAN STREET, CARLTON SOUTH",-37.798189,144.966121,Carlton Primary School,0.4774,Melbourne Central Railway Station (Melbourne City),1.3363,-37.7956,144.97045,Carlton Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
47,"604 SWANSTON STREET, CARLTON SOUTH",-37.80153,144.964037,Carlton Gardens Primary School,0.4854,Melbourne Central Railway Station (Melbourne City),0.9376,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
48,"64 KAY STREET, CARLTON SOUTH",-37.794952,144.972794,Carlton Primary School,0.2186,Parliament Railway Station (Melbourne City),1.7923,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
49,"270 ELGIN STREET, CARLTON SOUTH",-37.796679,144.965159,Carlton Primary School,0.4811,Melbourne Central Railway Station (Melbourne City),1.4846,-37.7956,144.97045,Carlton Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
50,"3803/483 SWANSTON STREET, MELBOURNE",-37.807094,144.962386,River Nile School,0.6764,Melbourne Central Railway Station (Melbourne City),0.312,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
51,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,Ozford College,0.2414,Southern Cross Railway Station (Melbourne City),0.3751,-37.81289,144.95442,Ozford College,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
52,"UNIT 2707/35 SPRING STREET, MELBOURNE",-37.8151019002,144.9748774002,Stott's College,0.5485,Parliament Railway Station (Melbourne City),0.4771,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
53,"37/458 ST KILDA ROAD, MELBOURNE",-37.840104,144.976079,MacRobertson Girls High School,0.5972,South Yarra Railway Station (South Yarra),1.4403,-37.83589,144.97186,MacRobertson Girls High School,19959,-37.8384,144.9923,South Yarra Railway Station (South Yarra),,,,
54,"1403/225 ELIZABETH STREET, MELBOURNE",-37.813122,144.962367,Hester Hornbrook Academy,0.666,Melbourne Central Railway Station (Melbourne City),0.3582,-37.81654,144.95615,Hester Hornbrook Academy,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
55,"402 / 33 ROSE LANE, MELBOURNE",-37.815235,144.9541488,Hester Hornbrook Academy,0.2281,Southern Cross Railway Station (Melbourne City),0.3822,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
56,"6503/442 ELIZABETH STREET, MELBOURNE",-37.80831001,144.96086001,River Nile School,0.6149,Melbourne Central Railway Station (Melbourne City),0.2337,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
57,"1709/80 A'BECKETT STREET, MELBOURNE",-37.8090372,144.9610905,River Nile School,0.6794,Melbourne Central Railway Station (Melbourne City),0.1638,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
58,"18 / 300 KING STREET, MELBOURNE",-37.813162,144.954664,Ozford College,0.0371,Flagstaff Railway Station (Melbourne City),0.158,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
59,"4413/80 A'BECKETT STREET, MELBOURNE",-37.80895001,144.96116001,River Nile School,0.6782,Melbourne Central Railway Station (Melbourne City),0.1649,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
60,"907/5 SUTHERLAND STREET, MELBOURNE",-37.8113855,144.9609182,Ozford College,0.5961,Melbourne Central Railway Station (Melbourne City),0.2216,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
61,"5008/500 ELIZABETH STREET, MELBOURNE",-37.80723001,144.96025001,River Nile School,0.5077,Melbourne Central Railway Station (Melbourne City),0.3615,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
62,"309/402-408 LA TROBE STREET, MELBOURNE",-37.81116001,144.95772001,Ozford College,0.3483,Flagstaff Railway Station (Melbourne City),0.2008,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
63,"505 / 591 ELIZABETH STREET, MELBOURNE",-37.80452001,144.95808001,River Nile School,0.2736,Melbourne Central Railway Station (Melbourne City),0.7176,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
64,"3716/228 LA TROBE STREET, MELBOURNE",-37.80966001,144.96228001,Stott's College,0.7584,Melbourne Central Railway Station (Melbourne City),0.0388,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
65,"911/199 WILLIAM STREET, MELBOURNE",-37.8144054,144.9575251,Hester Hornbrook Academy,0.2661,Flagstaff Railway Station (Melbourne City),0.3116,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
66,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,Hester Hornbrook Academy,0.4134,Southern Cross Railway Station (Melbourne City),0.6128,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
67,"402/112 A'BECKETT STREET, MELBOURNE",-37.8094859,144.9599824,Ozford College,0.6186,Melbourne Central Railway Station (Melbourne City),0.235,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
68,"618/360 ST KILDA ROAD, MELBOURNE",-37.831814,144.971113,MacRobertson Girls High School,0.4572,Flinders Street Railway Station (Melbourne City),1.5431,-37.83589,144.97186,MacRobertson Girls High School,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
69,"5512/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,Ozford College,0.1383,Flagstaff Railway Station (Melbourne City),0.1923,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
70,"4409/500 ELIZBETH STREET, MELBOURNE",-37.80723001,144.96025001,River Nile School,0.5077,Melbourne Central Railway Station (Melbourne City),0.3615,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
71,"5007/370 QUEEN STREET, MELBOURNE",-37.81025001,144.95943001,Ozford College,0.5296,Melbourne Central Railway Station (Melbourne City),0.2818,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
72,"2803/318 RUSSELL STREET, MELBOURNE",-37.809259,144.9665674,Stott's College,0.4333,Melbourne Central Railway Station (Melbourne City),0.3565,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
73,"4509/135 A'BECKETT STREET, MELBOURNE",-37.8096952,144.9595078,Ozford College,0.5714,Melbourne Central Railway Station (Melbourne City),0.2732,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
74,"3410/33 ROSE LANE, MELBOURNE",-37.8154272,144.9542392,Hester Hornbrook Academy,0.2087,Southern Cross Railway Station (Melbourne City),0.3713,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
75,"714/268 FLINDERS STREET, MELBOURNE",-37.8178628,144.9655187,Stott's College,0.8304,Flinders Street Railway Station (Melbourne City),0.1392,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
76,"33/140 FLINDERS STREET, MELBOURNE",-37.81639001,144.97034001,Stott's College,0.5387,Flinders Street Railway Station (Melbourne City),0.3625,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
77,"208/610 ST KILDA ROAD, MELBOURNE",-37.851999,144.980479,Victorian College For The Deaf,0.2953,Prahran Railway Station (Prahran),0.8743,-37.84977,144.98231,Victorian College For The Deaf,19958,-37.8495,144.9899,Prahran Railway Station (Prahran),,,,
78,"29/449 ST KILDA ROAD, MELBOURNE",-37.840138,144.977397,MacRobertson Girls High School,0.6781,South Yarra Railway Station (South Yarra),1.3259,-37.83589,144.97186,MacRobertson Girls High School,19959,-37.8384,144.9923,South Yarra Railway Station (South Yarra),,,,
79,"SHOP 7, 1-15 LITTLE COLLINS STREET, MELBOURNE",-37.8126001,144.97318001,Stott's College,0.259,Parliament Railway Station (Melbourne City),0.1683,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
80,"906/455 ELIZABETH STREET, MELBOURNE",-37.808429,144.960206,River Nile School,0.5764,Melbourne Central Railway Station (Melbourne City),0.2666,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
81,"4210/228 LA TROBE STREET, MELBOURNE",-37.80966001,144.96228001,Stott's College,0.7584,Melbourne Central Railway Station (Melbourne City),0.0388,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
82,"1604/565 FLINDERS STREET, MELBOURNE",-37.821127,144.955764,Hester Hornbrook Academy,0.5103,Southern Cross Railway Station (Melbourne City),0.5253,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
83,"2402/80 A'BECKETT STREET, MELBOURNE",-37.80895001,144.96116001,River Nile School,0.6782,Melbourne Central Railway Station (Melbourne City),0.1649,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
84,"5601/228 LA TROBE STREET, MELBOURNE",-37.80966001,144.96228001,Stott's College,0.7584,Melbourne Central Railway Station (Melbourne City),0.0388,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
85,"4706/500 ELIZABETH STREET, MELBOURNE",-37.8072345,144.960246,River Nile School,0.5076,Melbourne Central Railway Station (Melbourne City),0.3612,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
86,"1903/22-40 WILLS STREET, MELBOURNE",-37.8106903,144.9572146,Ozford College,0.3467,Flagstaff Railway Station (Melbourne City),0.1973,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
87,"902/270 KING STREET, MELBOURNE",-37.8137126,144.9544509,Ozford College,0.0913,Flagstaff Railway Station (Melbourne City),0.2196,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
88,"1813/199 WILLIAM STREET, MELBOURNE",-37.81456,144.9574098,Hester Hornbrook Academy,0.2462,Flagstaff Railway Station (Melbourne City),0.3216,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
89,"5803/568 COLLINS STREET, MELBOURNE",-37.818366,144.955424,Hester Hornbrook Academy,0.2125,Southern Cross Railway Station (Melbourne City),0.3581,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
90,"6308/450 ELIZABETH STREET, MELBOURNE",-37.80835001,144.96073001,River Nile School,0.608,Melbourne Central Railway Station (Melbourne City),0.2381,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
91,"FLAT 212/500 FLINDERS STREET, MELBOURNE",-37.820105,144.9577784,Hester Hornbrook Academy,0.4209,Southern Cross Railway Station (Melbourne City),0.6126,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
92,"1609/398 ELIZABETH STREET, MELBOURNE",-37.8093895,144.9612094,River Nile School,0.7125,Melbourne Central Railway Station (Melbourne City),0.1349,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
93,"2115/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,Holmes Grammar School,0.1176,Parliament Railway Station (Melbourne City),0.2163,-37.8103,144.97227,Holmes Grammar School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
94,"5503/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,Ozford College,0.1383,Flagstaff Railway Station (Melbourne City),0.1923,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
95,"3208/618 LONSDALE STREET, MELBOURNE",-37.81421001,144.95388001,Ozford College,0.154,Flagstaff Railway Station (Melbourne City),0.293,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
96,"1403/225 ELIZABETH ST, MELBOURNE",-37.81321001,144.96228001,Hester Hornbrook Academy,0.6542,Melbourne Central Railway Station (Melbourne City),0.3685,-37.81654,144.95615,Hester Hornbrook Academy,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
97,"2501/27 THERRY STREET, MELBOURNE",-37.8068538,144.9608225,River Nile School,0.5375,Melbourne Central Railway Station (Melbourne City),0.3726,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
98,"1008/77-89 A`BECKETT, MELBOURNE",-37.80937001,144.96121001,River Nile School,0.7111,Melbourne Central Railway Station (Melbourne City),0.1358,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
99,"3905/318 RUSSELL STREET, MELBOURNE",-37.80935001,144.9668001,Stott's College,0.4107,Melbourne Central Railway Station (Melbourne City),0.3749,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
100,"2/8 WELLINGTON CRESCENT, EAST MELBOURNE",-37.817225,144.977674,Stott's College,0.8891,Jolimont-MCG Railway Station (East Melbourne),0.5715,-37.81154,144.97056,Stott's College,19979,-37.8165,144.9841,Jolimont-MCG Railway Station (East Melbourne),,,,
101,"PO9P/191 POWLETT STREET, EAST MELBOURNE",-37.81005001,144.986001,Collingwood English Language School,0.2671,North Richmond Railway Station (Richmond),0.5736,-37.80784,144.9848,Collingwood English Language School,19977,-37.8104,144.9925,North Richmond Railway Station (Richmond),,,,
